Country,Country ISO,Country Code,Destination Network,MCC,MNC,Rate in USD
Brunei,BRN,673,Brunei - All Networks,,,0.00880
Bhutan,BTN,975,Bhutan - All Networks,,,0.02000
Botswana,BWA,267,Botswana-Others,,,0.03600
Botswana,BWA,267,Botswana - BTC Mobile,652,004,0.03300
Botswana,BWA,267,Botswana - Mascom Wireless,652,001,0.08640
Botswana,BWA,267,Botswana - Orange Botswana,652,002,0.08000
Central African Republic,CAF,236,Central African Republic-Others,,,0.03000
Central African Republic,CAF,236,Central African Republic - A-Cell,623,001,0.06500
Central African Republic,CAF,236,Central African Republic - NationLink Telecom,623,004,0.03000
Central African Republic,CAF,236,Central African Republic - Orange,623,003,0.02800
Central African Republic,CAF,236,Central African Republic - Telecel,623,002,0.01000
Canada,CAN,1,Canada - All Networks,,,0.00350
Switzerland,CHE,41,Switzerland - Comfone AG,228,009,0.03000
Switzerland,CHE,41,Switzerland - In&Phone,228,007,0.03000
Switzerland,CHE,41,Switzerland - Lycamobile (SALT),228,054,0.03000
Switzerland,CHE,41,Switzerland - Orange Communications,228,003,0.03000
Switzerland,CHE,41,Switzerland - Sunrise Communications,228,002,0.03000
Switzerland,CHE,41,Switzerland - Swisscom,228,001,0.03000
Switzerland,CHE,41,UPC Cablecom GmbH,228,053,0.03000
Switzerland,CHE,41,Switzerland - Other,,,0.03000
Chile,CHL,56,Chile - All Networks,,,0.04000
China,CHN,86,China - All Networks,,,0.04200
Cote D'Ivoire,CIV,225,Cote d'Ivoire-Others,,,0.04500
Cote D'Ivoire,CIV,225,Cote D'Ivoire - Atlantique Cellulaire (MOOV),612,002,0.01180
Cote D'Ivoire,CIV,225,Cote D'Ivoire - Comium Ivory Coast Inc (KoZ),612,004,0.01000
Cote D'Ivoire,CIV,225,Cote D'Ivoire - MTN Cote d'Ivoire,612,005,0.02910
Cote D'Ivoire,CIV,225,Cote D'Ivoire - NiamoutieTelecom,612,007,0.01000
Cote D'Ivoire,CIV,225,Cote D'Ivoire - Orange Cote d'Ivoire,612,003,0.06310
Cote D'Ivoire,CIV,225,Cote D'Ivoire - Oricel Cote d'Ivoire,612,006,0.02840
Cameroon,CMR,237,Cameroon - MTN,624,001,0.06000
Cameroon,CMR,237,Cameroon - Orange,624,002,0.05500
Congo Democratic Republic,COD,243,"Congo, The Democratic Republic of the-Others",,,0.03225
Congo Democratic Republic,COD,243,Equateur Telecom Congo (ETC),629,002,0.07500
Congo Democratic Republic,COD,243,CYRUS,629,007,0.03600
Congo Democratic Republic,COD,243,Congolese Wireless Network (Vodacom),630,001,0.02040
Congo Democratic Republic,COD,243,AIRTEL (old Zain),630,002,0.03070
Congo Democratic Republic,COD,243,Supercell,630,005,0.04500
Congo Democratic Republic,COD,243,Orange,630,086,0.02040
Congo Democratic Republic,COD,243,Yozma Timeturns,630,088,0.07500
Congo Democratic Republic,COD,243,Sait-Telecom (Oasis),630,089,0.07000
Congo Democratic Republic,COD,243,Africell RDC,630,090,0.07500
Congo,COG,242,Congo-Airtel,,,0.05000
Congo,COG,242,Congo-Others,,,0.02388
Congo,COG,242,Celtel Congo,629,001,0.03463
Congo,COG,242,MTN Congo S.A.,629,010,0.03500
Cook Islands,COK,682,Cook Islands - All Networks,,,0.01000
Colombia,COL,57,Colombia - All Networks,,,0.02800
Comoros,COM,269,Comoros - All Networks,,,0.01250
Cape Verde,CPV,238,Cape Verde-Others,,,0.01000
Cape Verde,CPV,238,Cape Verde - Cabo Verde Movel,625,001,0.01100
Cape Verde,CPV,238,Cape Verde - TPlus Telecom,625,002,0.02200
Costa Rica,CRI,506,Costa Rica-Others,,,0.04400
Costa Rica,CRI,506,Costa Rica - Claro Costa Rica Telecomunicaciones,712,003,0.04500
Costa Rica,CRI,506,Costa Rica - Instituto Costarricense de Electricidad (ICE),712,002,0.04500
Costa Rica,CRI,506,Costa Rica - Telefonica Moviles,712,004,0.04500
Cuba,CUB,53,Cuba - ETECSA/Cubacel,368,001,0.05850
Cayman Islands,CYM,1345,Cayman Islands - Digicell,346,050,0.01400
Cayman Islands,CYM,1345,Cayman Islands-Others,,,0.02000
Cayman Islands,CYM,1345,Cayman Islands - Cable & Wireless (Cayman Islan,346,140,0.02000
Cyprus,CYP,357,Cyprus-Others,,,0.02000
Cyprus,CYP,357,CYTAmobile-Vodafone,280,001,0.01180
Cyprus,CYP,357,MTN (Areeba Ltd),280,010,0.01180
Cyprus,CYP,357,PrimeTel PLC,280,020,0.01180
Cyprus,CYP,357,Lemontel Ltd,280,022,0.02000
Czech Republic,CZE,420,Czech Republic - ASTELNET,230,007,0.06800
Czech Republic,CZE,420,Czech Republic - Air Telecom (MobilKom),230,004,0.05900
Czech Republic,CZE,420,Czech Republic - Compatel,230,008,0.06800
Czech Republic,CZE,420,Czech Republic - T-Mobile Czech Republic (T-Systems),230,001,0.06800
Czech Republic,CZE,420,Czech Republic - TRAVEL TELEKOMMUNIKATION,230,005,0.06800
Czech Republic,CZE,420,Czech Republic - Telefonica Czech Republic,230,002,0.06800
Czech Republic,CZE,420,Czech Republic - Vodafone Czech Republic,230,003,0.05900
Germany,DEU,49,Germany Others,,,0.08000
Germany,DEU,49,Germany - DTAG (T-Mobile),262,006,0.08000
Germany,DEU,49,Germany - E Plus Mobilfunk,262,077,0.08000
Germany,DEU,49,Germany - Lycamobile,262,043,0.08000
Germany,DEU,49,Germany - Telefonica (O2 Germany GmbH & Co. OHG),262,008,0.08000
Germany,DEU,49,Germany - Vodafone D2,262,002,0.08000
Djibouti,DJI,253,Djibouti - All Networks,,,0.04800
Dominica,DMA,1767,Dominica - All Networks,,,0.01300
Denmark,DNK,45,Denmark-Other Networks,,,0.01800
Denmark,DNK,45,Denmark - Hi3G,238,006,0.02200
Denmark,DNK,45,Denmark - Lycamobile Denmark Ltd,238,012,0.01300
Denmark,DNK,45,Denmark - Mach Connectivity,238,003,0.01200
Denmark,DNK,45,Denmark - TDC,238,001,0.02200
Denmark,DNK,45,Denmark - Telenor,238,077,0.02000
Denmark,DNK,45,Denmark - Telia,238,020,0.02000
Dominican Republic,DOM,1809,Dominican Republic - Other,,,0.09800
Dominican Republic,DOM,1809,Dominican Republic - Compania Dominicana de Telefon (Claro),370,002,0.03000
Dominican Republic,DOM,1809,Dominican Republic - Orange Dominicana,370,001,0.03000
Dominican Republic,DOM,1809,Dominican Republic - Tricom,370,003,0.09800
Dominican Republic,DOM,1809,Dominican Republic - Trilogy Dominicana (Viva),370,004,0.03980
Algeria,DZA,213,Algeria-Others,,,0.09400
Algeria,DZA,213,Algeria - Algerie Telecom,603,001,0.09400
Algeria,DZA,213,Algeria - Orascom Telecom,603,002,0.00920
Algeria,DZA,213,Algeria - Wataniya Telecom Algerie (Nedjma),603,003,0.09400
Ecuador,ECU,593,Ecuador-Others,,,0.11164
Ecuador,ECU,593,Ecuador - Claro (Conecel S.A.),740,001,0.11164
Ecuador,ECU,593,Ecuador - Movistar (Otecel),740,000,0.11164
Egypt,EGY,20,Egypt - Etisalat,602,003,0.02700
Egypt,EGY,20,Egypt - Mobilnil,602,001,0.03500
Egypt,EGY,20,Egypt - Vodafone,602,002,0.05000
Egypt,EGY,20,Egypt - Telecom Egypt,602,004,0.06200
Eritrea,ERI,291,Eritrea - All Networks,,,0.06500
Spain,ESP,34,Spain - All Networks,,,0.05500
Estonia,EST,372,Estonia-Others,,,0.06500
Estonia,EST,372,Estonia - EMT,248,001,0.07300
Estonia,EST,372,Estonia - Elisa Eesti AS (Radiolinja Eesti),248,002,0.06000
Estonia,EST,372,Estonia - Tele 2 Eesti,248,003,0.05876
Ethiopia,ETH,251,Ethiopia - All Networks,,,0.01287
Finland,FIN,358,Finland-Saunalahti,,,0.01250
Finland,FIN,358,Finland - Alands Mobiltelefon,244,014,0.01230
Finland,FIN,358,Finland - Compatel Limited,244,026,0.06000
Finland,FIN,358,Finland - DNA Finland,244,013,0.06435
Finland,FIN,358,Finland - Elisa Oy,244,005,0.05000
Finland,FIN,358,Finland - Nokia,244,009,0.01000
Finland,FIN,358,Finland - Suomen Erillisverkot,244,011,0.01000
Finland,FIN,358,Finland - TeliaSonera Finland,244,091,0.05000
Finland,FIN,358,Finland - Ukko Mobile,244,031,0.06000
Finland,FIN,358,Finland - Virve Tuotteet ja Palvelut Oy,244,033,0.06000
Finland,FIN,358,TDC Finland,244,010,0.01000
Finland,FIN,358,Mundio Mobile (Finland) Limited),244,030,0.06000
Finland,FIN,358,Finland - Others,244,032,0.01250
Fiji,FJI,679,Fiji-Others,,,0.01000
Fiji,FJI,679,Fiji - Digicel,542,002,0.03540
Fiji,FJI,679,Fiji - Vodafone,542,001,0.02288
Falkland Islands (Malvinas),FLK,500,Falkland Islands (Malvinas) - All Networks,,,0.02000
France,FRA,33,France - Others,,,0.04200
France,FRA,33,France - ASSOCIATION PLATE,208,092,0.04200
France,FRA,33,France - ASTRIUM SAS,208,028,0.04200
France,FRA,33,France - BOUYGUES TELECOM,208,021,0.04200
France,FRA,33,France - COMPLETEL,208,008,0.04200
France,FRA,33,France - FREE MOBILE,208,016,0.04200
France,FRA,33,France - Globalstar Europe,208,006,0.04200
France,FRA,33,France - Hewlett,208,012,0.04200
France,FRA,33,France - MOBIQUITHINGS,208,024,0.04200
France,FRA,33,France - NRJ MOBILE,208,026,0.04200
France,FRA,33,France - OMEA TELECOM,208,089,0.04200
France,FRA,33,France - ORANGE FRANCE,208,000,0.04200
France,FRA,33,France - SOCIETE FRANCAISE DU RADIOTELEPHONE (SFR),208,010,0.04200
France,FRA,33,France - TRANSATEL,208,022,0.04200
France,FRA,33,Ste D'INGENIERIE SYSTEME TELECOM ET RESEAUX,208,004,0.04200
France,FRA,33,LYCAMOBILE,208,025,0.04200
France,FRA,33,AFONE,208,027,0.04200
France,FRA,33,MUNDIO MOBILE,208,031,0.04200
Faeroe Islands,FRO,298,Faeroe Islands - All Networks,,,0.01000
Micronesia,FSM,691,Micronesia - All Networks,,,0.06500
Gabon,GAB,241,Gabon-Others,,,0.04200
Gabon,GAB,241,Gabon - Libertis,628,001,0.01500
Gabon,GAB,241,Gabon - Telecel,628,002,0.02000
Gabon,GAB,241,Gabon - Airtel,628,003,0.04000
United Kingdom,GBR,44,United Kingdom - All Networks,,,0.02900
Georgia,GEO,995,Georgia-Mobitel,,,0.01200
Georgia,GEO,995,Georgia - Aquafon,282,067,0.01200
Georgia,GEO,995,Georgia - Beeline,282,004,0.02200
Georgia,GEO,995,Georgia - Geocell,282,001,0.01375
Georgia,GEO,995,Georgia - Magti,282,003,0.01390
Georgia,GEO,995,Georgia - Silqnet,282,005,0.00880
Guernsey,GGY,,Guernsey - All Networks,,,0.02200
Ghana,GHA,233,Ghana - Airtel /Zain Communications (Ghana) Ltd,620,006,0.01230
Ghana,GHA,233,Ghana - Ghana Telecom / Vodafone (Ghana),620,002,0.01230
Ghana,GHA,233,Ghana - Glo Ghana (Globalcom),620,007,0.01390
Ghana,GHA,233,Ghana - Kasapa Telecom Ltd (CDMA)(expresso),620,004,0.03500
Ghana,GHA,233,Ghana - Millicom Ghana Ltd (tiGO),620,003,0.01230
Ghana,GHA,233,Ghana - ScanCom Ltd (MTN),620,001,0.02621
Gibraltar,GIB,350,Gibraltar - All Networks,,,0.00880
Guinea,GIN,224,Guinea-Others,,,0.03000
Guinea,GIN,224,Guinea - Areeba (MTN),611,004,0.07800
Guinea,GIN,224,Guinea - Cellcom,611,005,0.02400
Guinea,GIN,224,Guinea - Intercel,611,003,0.03000
Guinea,GIN,224,Guinea - Orange,611,001,0.09000
Guinea,GIN,224,Guinea - Sotelgui,611,002,0.06500
Guadeloupe,GLP,590,Guadeloupe-Orange,,,0.11300
Guadeloupe,GLP,590,Guadeloupe-Others,,,0.01400
Guadeloupe,GLP,590,Guadeloupe - Dauphin Telecom AMIGO,340,008,0.09000
Guadeloupe,GLP,590,Guadeloupe - UTS CARAIBES,340,003,0.01400
Gambia,GMB,220,Gambia - All,,,0.01000
Gambia,GMB,220,Gambia - Africell,607,002,0.01300
Gambia,GMB,220,Gambia - Comium,607,003,0.01300
Gambia,GMB,220,Gambia - Gamcel,607,001,0.01375
Gambia,GMB,220,Gambia - Qcell,607,004,0.01300
Guinea Bissau,GNB,245,Spacetel Guinea-Bissau,632,002,0.01000
Guinea Bissau,GNB,245,Orange Bissau,632,003,0.01000
Guinea Bissau,GNB,245,Guineatel,632,007,0.01000
Equatorial Guinea,GNQ,240,Equatorial Guinea - GETESA (Orange),627,001,0.01400
Equatorial Guinea,GNQ,240,Equatorial Guinea - HiTs G.E. S.A.,627,003,0.06160
Greece,GRC,30,Greece - All Networks,,,0.04400
Grenada,GRD,1473,Grenada - All Networks,,,0.01500
Greenland,GRL,299,Greenland - All Networks,,,0.00880
Guatemala,GTM,502,Guatemala-Others,,,0.04500
Guatemala,GTM,502,Guatemala - Comunicaciones Celulares (COMCEL) (Tigo),704,002,0.02000
Guatemala,GTM,502,Guatemala - Telecomunicaciones de Guatemala (Claro),704,001,0.02000
Guatemala,GTM,502,Guatemala - Telefonica Moviles Guatemala (movistar),704,003,0.04200
French Guiana,GUF,594,French Guiana - Digicel,340,020,0.03500
French Guiana,GUF,594,French Guiana - Orange Caraibe Mobiles,340,001,0.06500
French Guiana,GUF,594,French Guiana - Outremer Telecom,340,002,0.00880
Guam,GUM,1671,Guam - All Networks,,,0.01000
Guyana,GUY,592,Guyana-Cellink,,,0.05000
Guyana,GUY,592,Guyana - Digicel,738,001,0.00880
Guyana,GUY,592,Guyana - Guyana Telephone & Telegraph (Cellink),738,002,0.04200
Hong Kong,HKG,852,Hong Kong-PCCW Mobile,,,0.04200
Hong Kong,HKG,852,Hong Kong-Others,,,0.05800
Hong Kong,HKG,852,Hong Kong - CITIC Telecom 1616,454,001,0.01100
Hong Kong,HKG,852,Hong Kong - CSL,454,002,0.04850
Hong Kong,HKG,852,Hong Kong - China Mobile Hong Kong Co,454,013,0.04004
Hong Kong,HKG,852,Hong Kong - China Motion Telecom (HK),454,009,0.01100
Hong Kong,HKG,852,Hong Kong - China Unicom (Hong Kong) Operations,454,007,0.05500
Hong Kong,HKG,852,Hong Kong - China-Hongkong Telecom,454,011,0.01100
Hong Kong,HKG,852,Hong Kong - Hong Kong Telecommunications (HKT),454,016,0.04147
Hong Kong,HKG,852,Hong Kong - Hutchison,454,005,0.04400
Hong Kong,HKG,852,Hong Kong - SmarTone Mobile Communications,454,017,0.03500
Hong Kong,HKG,852,Hong Kong - Truphone Hong Kong,454,008,0.01100
Honduras,HND,504,Honduras - Digicel Honduras,708,040,0.02500
Honduras,HND,504,Honduras - Hondutel (Empresa Hondurena de Telecomunicaciones),708,030,0.01500
Honduras,HND,504,Honduras - Sercom (Claro),708,001,0.01500
Honduras,HND,504,Honduras - Telefonica Celular S.A (CELTEL) (Tigo),708,002,0.01300
Croatia,HRV,385,Croatia-Croatia,,,0.08000
Croatia,HRV,385,Croatia - Hrvatski Telekom (HT),219,001,0.04800
Croatia,HRV,385,Croatia - Tele2,219,002,0.04800
Croatia,HRV,385,Croatia - VIPNet,219,010,0.04800
Haiti,HTI,509,Haiti - NATCOM (National Telecom S.A.),,,0.03000
Haiti,HTI,509,Haiti - Comcel/Voila,372,001,0.07000
Haiti,HTI,509,Haiti - Haiti Telecommunication (HAITEL),372,020,0.07200
Haiti,HTI,509,Haiti - Unigestion Holding (Digicel),338,050,0.02847
Hungary,HUN,36,Hungary-T-Mobile,,,0.07000
Hungary,HUN,36,Hungary - Magyar Telekom,216,030,0.07000
Hungary,HUN,36,Hungary - Telenor Magyarorszag,216,001,0.06500
Hungary,HUN,36,Hungary - UPC Magyarorszag,216,071,0.07000
Hungary,HUN,36,Hungary - Vodafone Magyarorszag,216,070,0.06500
Hungary,HUN,36,Hungary - Others,,,0.07000
Indonesia,IDN,62,Indonesia Others,,,0.04600
Indonesia,IDN,62,Indonesia - PT Bakrie Telecom (Telco Asia),510,099,0.04600
Indonesia,IDN,62,Indonesia - PT Hutchison CP Telecom,510,089,0.04600
Indonesia,IDN,62,Indonesia - PT INDOSAT Tbk,510,003,0.04600
Indonesia,IDN,62,Indonesia - PT Smart Telecom,510,009,0.04600
Indonesia,IDN,62,Indonesia - PT XL Axiata,510,011,0.04600
Indonesia,IDN,62,Indonesia - PT. Telekomunikasi Selular (Telkomsel),510,010,0.04600
Indonesia,IDN,62,Indonesia - PT.Natrindo Telepon Seluler,510,008,0.04600
Isle of Man,IMN,44,Isle of Man - All Networks,,,0.03500
India,IND,91,India - All Networks,,,0.00250
Ireland,IRL,353,Ireland-Others,,,0.05382
Ireland,IRL,353,Ireland - Clever Communications Ltd,272,009,0.01200
Ireland,IRL,353,Ireland - Eircom,272,007,0.05600
Ireland,IRL,353,Ireland - Hutchison 3G Ireland Ltd,272,005,0.04600
Ireland,IRL,353,Ireland - Meteor Mobile Communications Ltd.,272,003,0.04600
Ireland,IRL,353,Ireland - O2 Communications (Ireland) Ltd.,272,002,0.04875
Ireland,IRL,353,Ireland - Vodafone Ireland plc,272,001,0.05100
Ireland,IRL,353,Liffey Telecom Ltd,272,011,0.03400
Ireland,IRL,353,Lycamobile Ireland Ltd,272,013,0.03850
Iran,IRN,98,"Iran, Islamic Republic Of-MTCE",,,0.03400
Iran,IRN,98,Iran - Irancell,432,035,0.02300
Iran,IRN,98,Iran - Mobile Communications Company of Iran (MCI),432,011,0.01677
Iran,IRN,98,Iran - Mobile Telecommunications Company of Esfahan (MTCE),432,070,0.06500
Iran,IRN,98,Iran - Talya,432,032,0.04500
Iran,IRN,98,Iran - Telecommunication Kish Co. (Kifzo),432,014,0.01000
Iraq,IRQ,964,Iraq - Al-Mazaya,418,081,0.05500
